metric,abs_latitude_deg,nh_climatology_pw,sh_poleward_climatology_pw
CERES_raw_implied_total,34.0,5.778926219644403,5.718720772461323
CERES_raw_implied_total,35.0,5.7880964387873295,5.74136384579786
CERES_raw_implied_total,36.0,5.789542945395303,5.754540741971028
CERES_raw_implied_total,37.0,5.783968006417109,5.756978137989935
CERES_raw_implied_total,38.0,5.769021452204113,5.747341599146142
CERES_raw_implied_total,39.0,5.743692197322027,5.726853713200531
CERES_raw_implied_total,40.0,5.706658110768235,5.696848300117349
CERES_raw_implied_total,41.0,5.659536146953514,5.656735927773364
CERES_raw_implied_total,42.0,5.603753449881044,5.606520006156195
CERES_raw_implied_total,43.0,5.538974310182803,5.5463278577505175
CERES_raw_implied_total,44.0,5.463301906586517,5.476447571589459
CERES_raw_implied_total,45.0,5.378314523655508,5.397221959746548
CERES_raw_implied_total,46.0,5.284841958255803,5.3095047165455
CERES_raw_implied_total,47.0,5.183405363713012,5.212939455048926
CERES_raw_implied_total,48.0,5.07380172808185,5.108337472703219
CERES_raw_implied_total,49.0,4.957038352922458,4.996145928163872
CERES_raw_implied_total,50.0,4.834931707323485,4.877373886825077
CERES_raw_implied_total,51.0,4.707184221733082,4.752681215066324
CERES_raw_implied_total,52.0,4.573529032147016,4.621787189460497
CERES_raw_implied_total,53.0,4.435257375400245,4.485476206577263
CERES_raw_implied_total,54.0,4.293389029828736,4.34432005697873
CERES_raw_implied_total,55.0,4.148433794625474,4.197266029668832
CERES_raw_implied_total,56.0,3.9997777077451153,4.045887700590686
CERES_raw_implied_total,57.0,3.8467560151401585,3.8905689676878352
CERES_raw_implied_total,58.0,3.691751119307983,3.731043275236377
CERES_raw_implied_total,59.0,3.536395424020526,3.567359351308687
CERES_raw_implied_total,60.0,3.380114652890564,3.3995718559904597
CERES_raw_implied_total,61.0,3.219845524438812,3.2260990084875476
CERES_raw_implied_total,62.0,3.058001473648841,3.049963182619727
CERES_raw_implied_total,63.0,2.8960377891540188,2.8717565058444285
CERES_raw_implied_total,64.0,2.734381948016707,2.6913599250988054
CERES_raw_implied_total,65.0,2.5725258644986093,2.507598641997817
CERES_raw_implied_total,66.0,2.4102633731656655,2.3224776373614486
CERES_raw_implied_total,67.0,2.2499338040703263,2.1366205824755813
CERES_raw_implied_total,68.0,2.0908373228343047,1.952893272381244
CERES_raw_implied_total,69.0,1.9332928119918729,1.775534588878742
CERES_raw_implied_total,70.0,1.7778929952906886,1.6053867893672038
CERES_raw_implied_total,71.0,1.625799825595987,1.4424502982695218
CERES_raw_implied_total,72.0,1.4762361434571578,1.288388476272614
CERES_raw_implied_total,73.0,1.3297924392197489,1.1451828120097076
CERES_raw_implied_total,74.0,1.1882854647294228,1.0124788096917126
CERES_raw_implied_total,75.0,1.0528503164416798,0.8884495972958428
CERES_raw_implied_total,76.0,0.924397748670648,0.7730252472673017
CERES_raw_implied_total,77.0,0.8029444018216403,0.6673057612767126
CERES_raw_implied_total,78.0,0.688765418211309,0.5693645381240222
CERES_raw_implied_total,79.0,0.5820053333310078,0.477801854230169
CERES_raw_implied_total,80.0,0.4836093291059689,0.3936812318276945
CERES_raw_implied_total,81.0,0.3936836160092029,0.3173688011464094
CERES_raw_implied_total,82.0,0.3129418236484821,0.2487371900808481
CERES_raw_implied_total,83.0,0.2407920237663042,0.1883884690756057
CERES_raw_implied_total,84.0,0.1773102831794598,0.1364036024673663
CERES_raw_implied_total,85.0,0.1232500198240906,0.0930500029529094
ERA5_actual_AHT,1.0,-0.3121697360901478,0.4295883058508989
ERA5_actual_AHT,2.0,-0.2016588574164861,0.5030197612125376
ERA5_actual_AHT,3.0,-0.051886760236189,0.5999995370913258
ERA5_actual_AHT,4.0,0.1234097798369087,0.7202089243020827
ERA5_actual_AHT,5.0,0.3223006199834476,0.8605314147922422
ERA5_actual_AHT,6.0,0.5350314669156134,1.010467116016766
ERA5_actual_AHT,7.0,0.7633579299815475,1.1803805565409018
ERA5_actual_AHT,8.0,0.9949736970758452,1.3655516970623622
ERA5_actual_AHT,9.0,1.218306600519807,1.5563550368358263
ERA5_actual_AHT,10.0,1.4288247418828075,1.7507801050086498
ERA5_actual_AHT,11.0,1.6283164600398432,1.947895385123542
ERA5_actual_AHT,12.0,1.807631456197062,2.1440808864647103
ERA5_actual_AHT,13.0,1.981195069888444,2.3405865321453567
ERA5_actual_AHT,14.0,2.1481109223141557,2.5399993754136956
ERA5_actual_AHT,15.0,2.313076081671261,2.7294040964020136
ERA5_actual_AHT,16.0,2.465632643586682,2.9129712875244196
ERA5_actual_AHT,17.0,2.615646543256603,3.086012834321349
ERA5_actual_AHT,18.0,2.745006290026448,3.245764652499486
