latitude_deg,incoming_solar_wm2,asr_wm2,olr_wm2,ntoa_wm2,toa_regime
44.5,309.31403168513367,203.57592754888321,229.17755663876673,-25.601629089883517,deficit
45.5,304.8789654093496,198.7798713201135,227.60399969174273,-28.82412837162923,deficit
46.5,300.38589793376445,193.8996142716492,225.90385441857902,-32.00424014692982,deficit
47.5,295.83871164594495,188.94775537430894,224.27336525679445,-35.32560988248551,deficit
48.5,291.2408195849043,184.2246305248247,222.71173864240754,-38.487108117582835,deficit
49.5,286.5966286095768,180.11300164326013,221.25535828311843,-41.14235663985829,deficit
50.5,281.91055347733817,175.78550316477748,219.77439325232584,-43.988890087548356,deficit
51.5,277.1870941038448,171.4137640792116,218.5225652858261,-47.10880120661449,deficit
52.5,272.43147965488555,167.46122235899858,217.40222628356045,-49.94100392456187,deficit
53.5,267.64960937449865,163.8974071227372,216.45186533357133,-52.55445821083413,deficit
54.5,262.84786017149173,160.52691241159795,215.58926220146984,-55.06234978987189,deficit
55.5,258.03315338729675,156.7705500248345,214.72420647178,-57.9536564469455,deficit
56.5,253.21337107256383,152.5577169534685,213.84965823621272,-61.291941282744204,deficit
57.5,248.39749387775137,149.29010408238764,213.12232519828038,-63.832221115892736,deficit
58.5,243.59513618394874,146.6115620299454,212.409769085174,-65.7982070552286,deficit
59.5,238.81864969639773,143.2321326645686,211.39290720081422,-68.16077453624561,deficit
60.5,234.0810633776235,138.37509226984398,210.48264511688268,-72.1075528470387,deficit
61.5,229.39903322235932,133.94122627794303,209.13310750715445,-75.19188122921142,deficit
62.5,224.79342985743304,130.1583778867846,207.9640800017358,-77.8057021149512,deficit
63.5,220.28809132741532,126.60707524598017,207.0073134368305,-80.40023819085032,deficit
64.5,215.917676221605,122.5427053526424,206.00575313499183,-83.46304778234943,deficit
65.5,211.73096351719624,118.09842635438707,205.01393426734924,-86.91550791296217,deficit
66.5,207.82023925952143,114.82510426855596,204.17488600810586,-89.3497817395499,deficit
67.5,204.33274174474374,110.93785290611976,203.36361763352255,-92.4257647274028,deficit
68.5,201.17776051490387,107.06566609584705,202.7003266507179,-95.63466055487085,deficit
69.5,198.2733714530142,103.52538841263696,202.31536602704995,-98.78997761441299,deficit
70.5,195.58444855877946,100.58420687527449,202.14491789678587,-101.56071102151138,deficit
71.5,193.08985685658226,96.6509942168696,201.76089528340418,-105.10990106653458,deficit
72.5,190.7743424004783,92.69525558731443,201.24731917731694,-108.5520635900025,deficit
73.5,188.6254537624123,89.86788782700546,200.9081317591205,-111.04024393211503,deficit
74.5,186.63246955690994,87.5280967069852,200.48489109833497,-112.95679439134977,deficit
75.5,184.79059745463545,85.27447167922286,199.67004896194646,-114.39557728272361,deficit
76.5,183.0906595975934,83.08701564014929,199.16458928667302,-116.07757364652373,deficit
77.5,181.52765595175302,80.71780155611849,198.4337133136666,-117.71591175754811,deficit
78.5,180.0993898510215,78.12119523748909,197.58613132722877,-119.46493608973968,deficit
79.5,178.80031579801434,76.80195758603448,197.15152481876214,-120.34956723272767,deficit
80.5,177.62815942331886,75.52271237751384,196.9355272613315,-121.41281488381765,deficit
81.5,176.58024445577823,75.23433699715743,196.9635771635576,-121.72924016640017,deficit
82.5,175.6554911032445,73.32349995533194,196.49111211215035,-123.16761215681841,deficit
83.5,174.84872216810703,71.10896367496626,196.0490895898903,-124.94012591492402,deficit
84.5,174.15961897480258,70.00337027805567,195.7038930078911,-125.70052272983544,deficit
85.5,173.58761368857725,69.39138488320062,195.34912228190015,-125.95773739869954,deficit
86.5,173.1327484196197,68.97051601441515,195.00370291757005,-126.0331869031549,deficit
87.5,172.79222299548442,68.60261335675396,194.72794870692633,-126.12533535017236,deficit
88.5,172.5647526138284,68.37494756265838,194.60348648273492,-126.22853892007655,deficit
89.5,172.45363675891315,68.06267902894483,194.5932978495438,-126.53061882059897,deficit
